Product A,Product B,Times Bought Together
GREEN REGENCY TEACUP AND SAUCER,ROSES REGENCY TEACUP AND SAUCER ,52
GREEN REGENCY TEACUP AND SAUCER,PINK REGENCY TEACUP AND SAUCER,47
JUMBO BAG RED RETROSPOT,JUMBO BAG STRAWBERRY,46
RED HANGING HEART T-LIGHT HOLDER,WHITE HANGING HEART T-LIGHT HOLDER,45
JUMBO  BAG BAROQUE BLACK WHITE,JUMBO BAG RED RETROSPOT,38
ALARM CLOCK BAKELIKE GREEN,ALARM CLOCK BAKELIKE RED ,37
PINK REGENCY TEACUP AND SAUCER,ROSES REGENCY TEACUP AND SAUCER ,37
BLACK RECORD COVER FRAME,"RECORD FRAME 7"" SINGLE SIZE ",36
GREEN REGENCY TEACUP AND SAUCER,REGENCY CAKESTAND 3 TIER,35
HEART OF WICKER LARGE,HEART OF WICKER SMALL,34
